threshold,precision,recall
0.035588660427305636,0.15188583078491336,1.0
0.03584154615538445,0.1520408163265306,1.0
0.03593651648922664,0.15219611848825332,1.0
0.0359411339657773,0.1523517382413088,1.0
0.035948751872449745,0.15250767656090072,1.0
0.0359582128001544,0.1526639344262295,1.0
0.03609255592211834,0.15282051282051282,1.0
0.03633184577017819,0.15297741273100615,1.0
0.036366422581339417,0.15313463514902365,1.0
0.03642107974789964,0.15329218106995884,1.0
0.03658423064267468,0.15345005149330587,1.0
0.03679525704587552,0.15360824742268042,1.0
0.03684484186702574,0.15376676986584106,1.0
0.037172926821464905,0.15392561983471073,1.0
0.037360049424725504,0.15408479834539815,1.0
0.03755307505852444,0.15424430641821946,1.0
0.037972528469457034,0.1544041450777202,1.0
0.038271212480583905,0.1545643153526971,1.0
